epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1226.37,0.45332,2.3481,1.06716,0.98574,0.99265,0.99497,0.96825,0.26687,1.21654,0.8721,0.00998695,0.00332898,0.00998695,0.00332898,0.00998695,0.00332898,0.00998695,0.00332898
2,2454.76,0.41832,1.04209,1.00039,0.98317,0.98673,0.99499,0.94118,0.32988,0.95052,0.89743,0.019888,0.00662934,0.019888,0.00662934,0.019888,0.00662934,0.019888,0.00662934
3,3660.45,0.46076,0.8892,1.00939,0.99361,1,0.995,0.95718,0.31906,0.74851,0.89347,0.0296901,0.00989669,0.0296901,0.00989669,0.0296901,0.00989669,0.0296901,0.00989669
4,4820.41,0.45252,0.79581,1.00428,0.99605,0.99736,0.995,0.95497,0.31957,0.56177,0.8795,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,5978.1,0.40412,0.63565,0.9862,0.99727,0.99997,0.995,0.96765,0.276,0.41577,0.85951,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
