epoch,train_loss,train_box,train_cls,train_obj,val_loss,val_box,val_cls,val_obj,precision,recall,map50,map5095,lr
1,3.7182993770424835,0.9679859834558824,0.8981585733251634,0.013963906281913806,1.6202853901745522,0.5116583248387733,0.35403568358862236,0.011630003855108671,0.0,0.0,0.22931991139627653,0.22931991139627653,5e-05
2,1.602432470383987,0.5941020092933007,0.31837932112949346,0.013303081038730596,0.6471233174000701,0.20678154453975425,0.13293372661292077,0.010385147916773954,0.0,0.0,0.5850144995843742,0.5850144995843742,0.0001
3,0.9879404105392157,0.47397365196078434,0.1555624170241013,0.011819787118949142,0.4194750644300626,0.18319724850594726,0.06788764915112236,0.008153716531756535,0.0,0.0,0.49013192646032255,0.49013192646032255,0.00015
4,0.8220811631944445,0.46153364991830065,0.10776656406377655,0.009311760796440973,0.3338681378797309,0.18140006749189064,0.04373410366383619,0.00531644010533617,0.6897959183673441,0.09679266895761736,0.7272230346300533,0.7272230346300533,0.0002
5,0.751165811376634,0.4569699754901961,0.08884979946161407,0.006913014330895118,0.40275529721011855,0.18425095697107924,0.0672667302677916,0.004176037567859031,0.23806366047745345,0.2056128293241694,0.7054031882578762,0.7054031882578762,0.00025
6,0.7197820925245098,0.46062506382761437,0.07898354623831955,0.005548948400160845,0.3072560544223546,0.18459371963864593,0.037362530013013706,0.0026436861350358416,0.7488584474885828,0.18785796105383726,0.7524952630350306,0.7524952630350306,0.0003
7,0.6793115553513072,0.45661924274918303,0.06777052536509395,0.004845233992034314,0.23996340520850054,0.18147909158168862,0.015741465623080136,0.0028149792578998425,0.47658688865764803,0.5246277205040089,0.8009411492325481,0.8009411492325481,0.00035
8,0.6274991702410131,0.4576650582107843,0.05051694695466484,0.004568319383010366,0.26501452239000634,0.18414751885960637,0.02362104391656044,0.0025009676956541872,0.6080566140446377,0.6397479954180981,0.889321216352166,0.889321216352166,0.0004
9,0.6381880616830066,0.455779909620098,0.05483402426725899,0.004476868872549019,0.5116681272172492,0.1807692905539247,0.10568470972823776,0.003461176426932386,0.313611491108071,0.5252004581901486,0.6856680617186932,0.6856680617186932,0.00045000000000000004
10,0.6101565691380719,0.45792579401552286,0.044998263689427595,0.004309219160890268,0.19122069682840886,0.1791646001886015,0.0013545186099512333,0.0019981353373594206,0.7467766890149559,0.8293241695303547,0.9504914091901434,0.9504914091901434,0.0005
11,0.35994067223243464,0.23266394122753267,0.0399193941378126,0.0018792482762554892,0.20497226313641081,0.18091627305637212,0.0057932235292301485,0.0016690799089352766,0.701030927835051,0.5452462772050398,0.8624841440052229,0.8624841440052229,0.000499965894595621
12,0.3473947163500817,0.22444757199754903,0.038536850611368814,0.0018337361952837775,0.22763579832092268,0.1808299411037197,0.013117118374195767,0.0018636259440647344,0.5444444444444443,0.7577319587628862,0.9253863324047077,0.9253863324047077,0.0004998635877065611
13,0.31726329529207514,0.22193675321691175,0.029473202212963227,0.0017261181002348857,0.19436227775191608,0.18052332787072822,0.002600841361739073,0.0015091064474311525,0.6406473108043786,0.7709049255441004,0.9395844964378915,0.9395844964378915,0.000499693107302502
14,0.338845805249183,0.23316243489583333,0.03284235686258553,0.0017897238139233558,0.20002683534469778,0.18270692185043744,0.0034071093899719885,0.0017746462035907187,0.5551238465274403,0.6546391752577316,0.9009122661871064,0.9009122661871064,0.0004994544999910842
15,0.3136734706903595,0.2225210950265523,0.0281335369434232,0.0016880496654635162,0.18320292145966394,0.17551076701378712,0.0007562934701808316,0.0013558184892815202,0.7270128632682227,0.873997709049255,0.964942811365594,0.964942811365594,0.0004991478310051641
16,0.2996712877859477,0.21879707286560457,0.02476727557338141,0.0016428230634701797,0.18239556668011564,0.17570892432236782,0.00038420018075793115,0.0013835104947833167,0.6646833829154268,0.8957617411225653,0.9634953974124448,0.9634953974124448,0.0004987731841849803
17,0.30440298840890523,0.221505757250817,0.025414121228885027,0.0016643274843303206,0.1765192781137005,0.16975752924267015,0.0005069169616268216,0.0013102497663625334,0.7263986013986011,0.9518900343642607,0.9517791239117571,0.9517791239117571,0.0004983306619552327
