epoch,train_loss,train_box,train_cls,train_obj,val_loss,val_box,val_cls,val_obj,precision,recall,map50,map5095,lr
1,13.277835042853104,0.9875603569181342,4.768024043032997,4.644458360839308,13.057183303833007,0.9964427447319031,4.624534978866577,4.625716857910156,0.0,0.0,0.0,0.0,6.666666666666667e-05
2,12.981958305626584,0.9842461818142941,4.630615067063716,4.559666357542339,12.942662391662598,0.995851707458496,4.562262592315673,4.6054909133911135,0.0,0.0,0.0,0.0,0.00013333333333333334
3,12.432579458805552,0.9678471391661125,4.398808926866765,4.382595421975119,12.369691352844239,0.9854326009750366,4.290079808235168,4.456422605514526,0.0,0.0,0.0,0.0,0.0002
4,11.232558668705455,0.903505219702135,3.83780248541581,4.120597174293117,11.852514762878418,0.9701058959960938,4.044711680412292,4.330288362503052,0.0,0.0,0.0,0.0,0.0001761603935772031
5,10.378692275599429,0.863397198810912,3.3991179403505827,3.9849195689485786,11.464684791564942,0.940700135231018,3.867537512779236,4.252328481674194,0.0,0.0,0.0,0.0,2.225010110783803e-06
6,9.524176104026928,0.8262841126375031,3.00046874347486,3.784046854889184,11.10290370941162,0.9077456331253052,3.694033479690552,4.200235090255737,0.0019436345966958196,0.020408163265305916,0.0009600588806951352,0.0009600588806951352,0.00014911781352894702
7,8.49665900280601,0.7346822473040798,2.534324065635079,3.5931495448999238,10.742018146514893,0.9020873999595642,3.5449346256256105,4.07148515701294,0.0008003201280512202,0.020408163265305916,0.002346487834292384,0.002346487834292384,4.201536739689893e-05
8,8.229914322234036,0.7589299856570729,2.3584995766480765,3.5537700318453607,10.16662311553955,0.8840998363494873,3.27951007604599,3.9212081909179686,0.0009134088417975884,0.05102040816326479,0.039993111605217346,0.039993111605217346,0.0001995208803038836
9,7.22671055375484,0.6878265576404438,1.9029785520152043,3.3405028602533173,9.941816596984863,0.8787691283226013,3.1272372364997865,3.9328070640563966,0.0009704550355833511,0.09183673469387661,0.01754377504271112,0.01754377504271112,0.00017863903462263413
10,6.928112607253225,0.6943932714169485,1.7480352500028777,3.264469820156432,8.949602737426758,0.8518661403656006,2.706547796726227,3.611981897354126,0.0008573061535530576,0.09183673469387661,0.030532896253715726,0.030532896253715726,0.0001330992028663885
