epoch,train_loss,train_box,train_cls,train_obj,val_loss,val_box,val_cls,val_obj,precision,recall,map50,map5095,lr
1,3.7297324984681373,0.9315195121017157,0.9142815085018382,0.013931491328220741,1.7751191932311172,0.41612141878949,0.4376022388128071,0.011547764286373285,0.0,0.0,0.11940341768796252,0.11940341768796252,5e-05
2,1.4933402267156863,0.505752623314951,0.31155844295726104,0.013222309187346813,0.6343793558705714,0.18359707946220213,0.1366200240207292,0.010230550424058208,0.0,0.0,0.386630300785138,0.386630300785138,0.0001
3,0.9500617532169118,0.460391295189951,0.1491178175982307,0.010582897709865195,0.3789502752503169,0.18261868330006747,0.05692645113757584,0.006388059370795784,0.0,0.0,0.5283022698021903,0.5283022698021903,0.00015
4,0.7872967888327206,0.4569223441329657,0.10073651706471162,0.007040083642099418,0.4722578334798108,0.1818630335359639,0.09218508071890998,0.003459889715364606,0.99999999999975,0.0022909507445589908,0.5307815100802189,0.5307815100802189,0.0002
5,0.7443727979473039,0.45674330767463234,0.08877958035936542,0.005321510165345435,0.3571434903544249,0.17987667316014005,0.055395449157160166,0.0027701171207852996,0.37611940298507407,0.14432989690721643,0.5822848759422256,0.5822848759422256,0.00025
6,0.7172707950367647,0.456600892310049,0.08039123123767329,0.004873204698749617,0.33718924019549723,0.1800130526839253,0.0485070146942516,0.002913785708709732,0.3548589341692788,0.3241695303550972,0.6004167564102857,0.6004167564102857,0.0003
7,0.6967139150582108,0.45608101639093135,0.07397800426857144,0.0046741055507285925,0.38751142735743443,0.1783554722967836,0.06656989774760139,0.0023615660947584305,0.454980842911877,0.27205040091638016,0.684954139067037,0.684954139067037,0.00035
8,0.6486787683823529,0.4566504384957108,0.05792251708460789,0.004567140691420611,0.20432460136532374,0.17949834478782214,0.005428718380628817,0.0021350253285372894,0.655381944444444,0.43241695303550953,0.8160734500175527,0.8160734500175527,0.0004
9,0.6147295783547794,0.45464489506740197,0.047556071655423034,0.004351948756797641,0.3586511716656259,0.17962815786657466,0.05626113538799729,0.0025599014443662207,0.4915433403805494,0.5326460481099654,0.7472341446771377,0.7472341446771377,0.00045000000000000004
10,0.6094774433210784,0.45582921645220587,0.04551348849838855,0.004278302660175398,0.23524485200745954,0.17964867044150626,0.015713667335367564,0.0021137948923254596,0.6078431372549015,0.4083619702176401,0.754239571629819,0.754239571629819,0.0005
11,0.38792006548713237,0.2318799187155331,0.04933248968685375,0.0020101163901534735,0.2002635972503944,0.17943268451084385,0.004572321681369375,0.0017784866048311144,0.6022786121180732,0.6660939289805266,0.8258309855350668,0.8258309855350668,0.000499965894595621
