epoch 29 pred_counts: {4: 219, 6: 377, 5: 747, 9: 728, 7: 839, 8: 935, 1: 608, 3: 369, 13: 767, 0: 501, 10: 486, 2: 287, 12: 602, 11: 691} conf_thresh=0.01
epoch 30 pred_counts: {4: 152, 6: 230, 5: 367, 7: 405, 8: 438, 9: 463, 1: 372, 0: 198, 10: 247, 13: 412, 3: 149, 2: 178, 12: 345, 11: 339} conf_thresh=0.05
epoch 31 pred_counts: {4: 161, 6: 230, 7: 416, 8: 441, 9: 418, 0: 211, 1: 345, 13: 367, 10: 198, 3: 197, 5: 398, 2: 183, 12: 353, 11: 426} conf_thresh=0.05
epoch 32 pred_counts: {4: 151, 6: 254, 8: 442, 7: 438, 9: 405, 1: 333, 5: 344, 0: 224, 10: 196, 3: 168, 2: 179, 13: 347, 12: 353, 11: 399} conf_thresh=0.05
epoch 33 pred_counts: {4: 148, 6: 208, 5: 314, 8: 469, 7: 353, 1: 313, 9: 404, 0: 222, 3: 141, 2: 180, 13: 295, 10: 193, 12: 303, 11: 380} conf_thresh=0.05
epoch 34 pred_counts: {4: 150, 6: 191, 8: 443, 9: 419, 7: 342, 1: 279, 5: 320, 0: 257, 3: 141, 2: 180, 13: 315, 10: 178, 12: 325, 11: 376} conf_thresh=0.05
epoch 35 pred_counts: {4: 148, 6: 216, 5: 328, 9: 357, 8: 423, 1: 310, 7: 344, 0: 249, 13: 325, 3: 148, 2: 176, 10: 177, 12: 309, 11: 371} conf_thresh=0.05
epoch 36 pred_counts: {4: 148, 6: 203, 8: 435, 9: 376, 1: 332, 7: 320, 3: 167, 5: 289, 0: 257, 13: 309, 2: 170, 10: 180, 12: 293, 11: 337} conf_thresh=0.05
epoch 37 pred_counts: {4: 150, 6: 205, 5: 247, 7: 342, 8: 471, 9: 367, 1: 347, 3: 170, 0: 243, 13: 295, 2: 170, 10: 182, 12: 278, 11: 336} conf_thresh=0.05
epoch 38 pred_counts: {4: 148, 6: 197, 5: 255, 7: 358, 8: 502, 9: 353, 1: 331, 3: 169, 13: 329, 0: 174, 2: 170, 10: 165, 12: 260, 11: 330} conf_thresh=0.05
epoch 39 pred_counts: {4: 149, 6: 175, 5: 265, 7: 339, 8: 461, 9: 377, 1: 345, 3: 163, 13: 369, 0: 182, 2: 174, 10: 182, 12: 270, 11: 335} conf_thresh=0.05
epoch 40 pred_counts: {4: 149, 6: 174, 5: 250, 8: 446, 7: 316, 9: 396, 1: 354, 3: 168, 13: 404, 0: 174, 2: 177, 10: 187, 12: 272, 11: 349} conf_thresh=0.05
epoch 41 pred_counts: {4: 149, 6: 190, 5: 260, 8: 448, 7: 303, 9: 392, 1: 360, 3: 163, 13: 372, 0: 175, 2: 176, 10: 186, 12: 278, 11: 369} conf_thresh=0.05
epoch 42 pred_counts: {4: 149, 6: 206, 5: 253, 8: 435, 7: 297, 9: 367, 1: 369, 3: 171, 0: 206, 2: 176, 13: 324, 10: 190, 12: 282, 11: 378} conf_thresh=0.05
epoch 43 pred_counts: {4: 150, 6: 228, 5: 237, 8: 423, 7: 309, 9: 357, 1: 373, 3: 168, 10: 197, 0: 218, 2: 174, 13: 311, 12: 298, 11: 366} conf_thresh=0.05
epoch 44 pred_counts: {4: 154, 6: 229, 5: 225, 8: 426, 9: 344, 1: 371, 7: 329, 3: 171, 0: 217, 2: 173, 13: 288, 10: 191, 12: 300, 11: 350} conf_thresh=0.05
epoch 45 pred_counts: {4: 155, 6: 230, 5: 222, 8: 415, 1: 370, 9: 323, 7: 318, 3: 167, 0: 210, 2: 173, 13: 283, 10: 199, 12: 298, 11: 339} conf_thresh=0.05
epoch 46 pred_counts: {4: 160, 6: 228, 5: 217, 8: 389, 1: 373, 9: 315, 7: 299, 3: 165, 0: 203, 2: 171, 13: 284, 10: 202, 12: 298, 11: 335} conf_thresh=0.05
epoch 47 pred_counts: {4: 159, 6: 231, 5: 221, 8: 369, 1: 372, 7: 280, 9: 304, 3: 170, 10: 205, 0: 203, 2: 171, 13: 288, 12: 297, 11: 335} conf_thresh=0.05
epoch 48 pred_counts: {4: 158, 6: 236, 5: 217, 8: 365, 1: 382, 9: 298, 7: 270, 3: 172, 10: 200, 0: 199, 2: 172, 13: 293, 12: 287, 11: 331} conf_thresh=0.05
epoch 49 pred_counts: {4: 158, 6: 238, 5: 209, 8: 362, 1: 385, 9: 294, 7: 269, 3: 173, 10: 200, 0: 199, 2: 172, 13: 298, 12: 284, 11: 329} conf_thresh=0.05
epoch 50 pred_counts: {4: 158, 6: 238, 5: 203, 8: 364, 1: 382, 7: 270, 9: 286, 3: 174, 10: 205, 0: 198, 2: 172, 13: 302, 12: 278, 11: 333} conf_thresh=0.05
epoch 51 pred_counts: {4: 157, 6: 233, 5: 200, 8: 356, 1: 386, 9: 282, 7: 267, 3: 177, 10: 213, 0: 199, 2: 174, 13: 308, 12: 279, 11: 331} conf_thresh=0.05
epoch 52 pred_counts: {4: 157, 6: 235, 5: 202, 8: 349, 1: 383, 9: 276, 7: 264, 3: 166, 10: 226, 0: 199, 2: 173, 13: 319, 12: 280, 11: 335} conf_thresh=0.05
epoch 53 pred_counts: {4: 156, 6: 231, 5: 206, 8: 341, 1: 382, 7: 263, 9: 260, 3: 163, 10: 226, 0: 198, 2: 172, 13: 317, 11: 333, 12: 281} conf_thresh=0.05
epoch 54 pred_counts: {4: 155, 6: 229, 5: 207, 8: 332, 1: 380, 9: 261, 7: 261, 3: 162, 10: 225, 0: 197, 2: 174, 13: 318, 11: 330, 12: 284} conf_thresh=0.05
epoch 55 pred_counts: {4: 154, 6: 229, 5: 207, 8: 321, 1: 381, 9: 266, 7: 255, 3: 164, 10: 227, 0: 195, 2: 173, 13: 316, 11: 329, 12: 283} conf_thresh=0.05
epoch 56 pred_counts: {4: 153, 6: 228, 5: 211, 8: 310, 1: 384, 9: 259, 7: 254, 3: 164, 10: 227, 0: 192, 2: 173, 13: 310, 11: 321, 12: 283} conf_thresh=0.05
epoch 57 pred_counts: {4: 155, 6: 227, 5: 216, 8: 309, 1: 382, 9: 244, 7: 253, 3: 161, 10: 227, 0: 192, 2: 173, 13: 309, 11: 313, 12: 283} conf_thresh=0.05
epoch 58 pred_counts: {4: 154, 6: 228, 5: 223, 8: 301, 1: 383, 7: 250, 3: 159, 9: 236, 10: 221, 0: 190, 2: 173, 13: 305, 11: 313, 12: 282} conf_thresh=0.05
epoch 59 pred_counts: {4: 152, 6: 228, 5: 221, 8: 299, 1: 378, 7: 244, 3: 159, 9: 233, 10: 224, 0: 189, 2: 173, 13: 299, 11: 307, 12: 283} conf_thresh=0.05
epoch 60 pred_counts: {4: 150, 6: 229, 5: 218, 8: 291, 1: 376, 7: 243, 3: 159, 9: 226, 10: 220, 0: 185, 2: 172, 13: 291, 11: 309, 12: 280} conf_thresh=0.05
epoch 61 pred_counts: {4: 148, 6: 227, 5: 218, 8: 292, 1: 370, 7: 238, 3: 162, 9: 226, 10: 214, 0: 182, 2: 171, 13: 287, 11: 303, 12: 278} conf_thresh=0.05
epoch 62 pred_counts: {4: 148, 6: 226, 5: 219, 8: 299, 1: 366, 7: 233, 3: 162, 9: 226, 10: 211, 0: 182, 2: 171, 13: 286, 11: 299, 12: 275} conf_thresh=0.05
epoch 63 pred_counts: {4: 146, 6: 221, 5: 212, 8: 295, 1: 361, 7: 229, 3: 162, 9: 228, 10: 206, 0: 169, 2: 170, 13: 282, 11: 297, 12: 275} conf_thresh=0.05
epoch 64 pred_counts: {4: 146, 6: 220, 5: 209, 8: 289, 1: 353, 7: 228, 3: 163, 9: 223, 10: 198, 0: 165, 2: 170, 13: 276, 11: 297, 12: 268} conf_thresh=0.05
epoch 65 pred_counts: {4: 145, 6: 218, 5: 208, 8: 287, 1: 340, 7: 225, 3: 161, 9: 223, 10: 198, 0: 162, 2: 169, 13: 271, 11: 293, 12: 267} conf_thresh=0.05
epoch 66 pred_counts: {4: 144, 6: 217, 5: 207, 8: 289, 1: 334, 7: 227, 3: 160, 9: 230, 10: 193, 0: 158, 2: 169, 13: 266, 11: 291, 12: 264} conf_thresh=0.05
epoch 67 pred_counts: {4: 144, 6: 212, 5: 208, 8: 283, 1: 328, 7: 224, 3: 160, 9: 224, 10: 190, 0: 156, 2: 168, 13: 267, 11: 288, 12: 258} conf_thresh=0.05
epoch 68 pred_counts: {4: 145, 6: 213, 5: 209, 8: 280, 1: 324, 7: 224, 3: 158, 9: 222, 10: 187, 0: 155, 2: 168, 13: 268, 11: 284, 12: 254} conf_thresh=0.05
