epoch 30 pred_counts: {4: 145, 6: 227, 9: 343, 7: 282, 1: 252, 8: 205, 2: 182, 3: 127, 5: 192, 10: 222, 0: 130, 13: 304, 11: 212, 12: 181} conf_thresh=0.05
epoch 31 pred_counts: {4: 148, 6: 227, 9: 332, 1: 263, 7: 280, 8: 208, 2: 219, 3: 128, 5: 298, 10: 210, 0: 125, 13: 291, 12: 137, 11: 179} conf_thresh=0.05
epoch 32 pred_counts: {4: 144, 6: 244, 5: 197, 7: 291, 9: 315, 1: 285, 8: 219, 2: 188, 3: 128, 10: 161, 0: 122, 13: 304, 12: 169, 11: 183} conf_thresh=0.05
epoch 33 pred_counts: {4: 146, 6: 207, 9: 314, 7: 268, 8: 182, 2: 212, 5: 179, 1: 256, 10: 163, 3: 133, 0: 124, 13: 274, 12: 159, 11: 178} conf_thresh=0.05
epoch 34 pred_counts: {4: 148, 6: 206, 7: 250, 9: 310, 8: 222, 2: 199, 1: 264, 3: 135, 0: 125, 5: 227, 10: 140, 13: 302, 12: 160, 11: 199} conf_thresh=0.05
epoch 35 pred_counts: {4: 152, 6: 225, 7: 338, 9: 290, 8: 213, 1: 254, 0: 133, 3: 128, 5: 255, 2: 181, 10: 138, 13: 292, 12: 186, 11: 256} conf_thresh=0.05
epoch 36 pred_counts: {4: 149, 6: 215, 7: 284, 9: 298, 8: 214, 3: 127, 1: 219, 0: 131, 2: 186, 5: 194, 10: 138, 13: 284, 12: 168, 11: 258} conf_thresh=0.05
epoch 37 pred_counts: {4: 147, 6: 194, 9: 299, 7: 250, 8: 245, 2: 209, 1: 248, 0: 124, 3: 127, 5: 202, 10: 136, 13: 268, 12: 166, 11: 231} conf_thresh=0.05
epoch 38 pred_counts: {4: 142, 6: 162, 7: 270, 9: 281, 8: 187, 2: 207, 0: 128, 1: 256, 3: 125, 5: 186, 10: 138, 13: 286, 12: 182, 11: 269} conf_thresh=0.05
epoch 39 pred_counts: {4: 139, 6: 149, 7: 283, 9: 272, 8: 222, 2: 218, 1: 217, 0: 120, 3: 128, 5: 176, 10: 140, 13: 279, 12: 168, 11: 244} conf_thresh=0.05
epoch 40 pred_counts: {4: 141, 6: 164, 7: 291, 9: 289, 8: 235, 2: 219, 1: 216, 3: 132, 5: 182, 10: 141, 0: 119, 13: 285, 12: 156, 11: 213} conf_thresh=0.05
epoch 41 pred_counts: {4: 142, 6: 179, 7: 264, 9: 351, 8: 245, 1: 220, 3: 129, 5: 168, 10: 146, 2: 188, 0: 130, 13: 292, 12: 157, 11: 201} conf_thresh=0.05
epoch 42 pred_counts: {4: 143, 6: 191, 7: 302, 9: 314, 8: 198, 1: 217, 3: 131, 5: 172, 2: 198, 10: 146, 0: 140, 13: 294, 12: 154, 11: 218} conf_thresh=0.05
epoch 43 pred_counts: {4: 142, 6: 182, 9: 291, 7: 303, 8: 181, 1: 233, 2: 199, 3: 128, 5: 181, 10: 141, 0: 136, 13: 287, 12: 147, 11: 230} conf_thresh=0.05
epoch 44 pred_counts: {4: 140, 6: 171, 9: 316, 7: 316, 8: 190, 2: 200, 1: 228, 3: 129, 5: 187, 10: 138, 0: 125, 13: 285, 12: 149, 11: 209} conf_thresh=0.05
epoch 45 pred_counts: {4: 140, 9: 333, 6: 163, 7: 312, 8: 179, 2: 205, 1: 238, 3: 130, 5: 187, 10: 143, 0: 124, 13: 280, 12: 152, 11: 211} conf_thresh=0.05
epoch 46 pred_counts: {4: 140, 9: 314, 6: 157, 7: 313, 8: 178, 2: 211, 1: 260, 3: 128, 5: 186, 10: 142, 0: 129, 13: 280, 12: 154, 11: 214} conf_thresh=0.05
epoch 47 pred_counts: {4: 138, 9: 306, 6: 139, 7: 301, 8: 193, 2: 201, 1: 255, 3: 131, 5: 190, 10: 144, 0: 128, 13: 279, 12: 140, 11: 220} conf_thresh=0.05
epoch 48 pred_counts: {4: 140, 9: 290, 6: 140, 7: 286, 8: 192, 1: 247, 3: 130, 5: 186, 2: 178, 10: 140, 0: 126, 13: 276, 12: 143, 11: 220} conf_thresh=0.05
epoch 49 pred_counts: {4: 141, 9: 286, 6: 153, 7: 281, 8: 191, 1: 270, 3: 128, 5: 185, 10: 140, 2: 175, 0: 126, 13: 278, 12: 144, 11: 218} conf_thresh=0.05
epoch 50 pred_counts: {4: 140, 9: 286, 6: 159, 7: 283, 8: 198, 1: 275, 3: 127, 5: 176, 10: 141, 2: 177, 0: 124, 13: 276, 12: 145, 11: 216} conf_thresh=0.05
epoch 51 pred_counts: {4: 140, 9: 283, 6: 159, 7: 282, 8: 193, 1: 267, 3: 127, 5: 178, 10: 143, 2: 173, 0: 124, 13: 275, 12: 147, 11: 215} conf_thresh=0.05
epoch 52 pred_counts: {4: 141, 9: 278, 6: 148, 7: 282, 8: 193, 1: 268, 3: 125, 5: 182, 10: 143, 2: 174, 0: 126, 13: 274, 12: 149, 11: 208} conf_thresh=0.05
epoch 53 pred_counts: {4: 141, 9: 274, 6: 143, 7: 272, 8: 201, 1: 258, 3: 124, 5: 180, 10: 142, 2: 170, 0: 127, 13: 269, 12: 149, 11: 200} conf_thresh=0.05
epoch 54 pred_counts: {4: 141, 9: 266, 6: 144, 7: 258, 8: 201, 1: 259, 3: 123, 5: 181, 10: 138, 2: 179, 0: 129, 13: 269, 12: 149, 11: 193} conf_thresh=0.05
epoch 55 pred_counts: {4: 140, 9: 263, 6: 142, 7: 256, 8: 193, 1: 256, 3: 123, 5: 181, 10: 137, 2: 176, 0: 127, 13: 266, 12: 149, 11: 188} conf_thresh=0.05
epoch 56 pred_counts: {4: 140, 9: 260, 6: 135, 7: 246, 8: 198, 1: 255, 3: 125, 5: 178, 10: 138, 2: 173, 0: 131, 13: 267, 12: 149, 11: 190} conf_thresh=0.05
epoch 57 pred_counts: {4: 140, 9: 261, 6: 136, 7: 248, 8: 199, 1: 257, 3: 125, 5: 181, 10: 139, 2: 172, 0: 128, 13: 269, 12: 151, 11: 189} conf_thresh=0.05
epoch 58 pred_counts: {4: 139, 9: 260, 6: 137, 7: 241, 8: 208, 1: 250, 3: 126, 5: 177, 10: 139, 2: 168, 0: 131, 13: 272, 12: 151, 11: 187} conf_thresh=0.05
epoch 59 pred_counts: {4: 139, 9: 258, 6: 137, 7: 238, 8: 216, 1: 242, 3: 126, 5: 180, 10: 138, 2: 166, 0: 132, 13: 272, 12: 150, 11: 188} conf_thresh=0.05
epoch 60 pred_counts: {4: 139, 9: 260, 6: 133, 7: 237, 8: 216, 1: 237, 3: 126, 5: 181, 10: 139, 2: 167, 0: 129, 13: 271, 12: 151, 11: 186} conf_thresh=0.05
epoch 61 pred_counts: {4: 139, 9: 260, 6: 132, 7: 235, 8: 211, 1: 232, 3: 126, 5: 180, 10: 140, 2: 166, 0: 128, 13: 271, 12: 151, 11: 187} conf_thresh=0.05
epoch 62 pred_counts: {4: 138, 9: 252, 6: 133, 7: 233, 8: 203, 1: 232, 3: 125, 5: 175, 10: 138, 2: 166, 0: 130, 13: 271, 12: 151, 11: 186} conf_thresh=0.05
