epoch,train_loss,train_box,train_cls,train_obj,val_loss,val_box,val_cls,val_obj,precision,recall,map50,map5095,lr
1,3.704167943218954,0.9673094107434641,0.8895345052083333,0.017028170317606207,1.89962649644782,0.6457321679211099,0.40074863791737925,0.012912102332806479,0.0,0.0,0.3418067617535936,0.3418067617535936,5e-05
2,1.6151845894607844,0.5574572993259804,0.3311597637101716,0.0160563649694904,0.781293466074826,0.3140627360779401,0.13996545633632843,0.011833589387947022,0.0,0.0,0.6887834153509559,0.6887834153509559,0.0001
3,0.8933239506740196,0.3935751123366013,0.147079447827308,0.014629079781326593,0.44727668635649226,0.20364564806903335,0.06814429795020792,0.009799535951862053,0.4999999999999927,0.01947308132875142,0.683384700583584,0.683384700583584,0.00015
4,0.709091286254085,0.36277765012254903,0.09993799745646957,0.011627526376761642,0.5215967854136201,0.2689042885077598,0.0748800867187714,0.007013058987314298,0.9548872180451057,0.07273768613974796,0.7796144233171942,0.7796144233171942,0.0002
5,0.6088918249591503,0.3412371068218954,0.07761954263923994,0.008697290358200572,0.3204169337335787,0.16070103900481578,0.043978183848021095,0.006945335737867578,0.34918319719953317,0.685567010309278,0.8895516563045597,0.8895516563045597,0.00025
6,0.5734690946691177,0.337826478247549,0.06880539289486953,0.007305459415211397,0.24440022476323664,0.17257058389110652,0.019012045379492592,0.003698376008441255,0.7183098591549291,0.5549828178694155,0.9114103008714565,0.9114103008714565,0.0003
7,0.5384191176470589,0.3337597017973856,0.059321528166727304,0.006672279507506127,0.5988869263905369,0.18171363939705504,0.13182148931434506,0.005427205432248918,0.4154356346095869,0.7892325315005724,0.8541157460063186,0.8541157460063186,0.00035
8,0.48332790798611114,0.326159588184232,0.043995702656265956,0.006294415043849571,0.2287781736281909,0.16434708996314437,0.01726033496027217,0.0031625195491429606,0.6645161290322578,0.7668957617411222,0.9223878955723877,0.9223878955723877,0.0004
9,0.47508808210784315,0.32350164675245097,0.04217019486271478,0.006269921196831597,0.16171651649965,0.13919948429277498,0.003332295664346917,0.003130036316914101,0.6708423326133907,0.8894616265750281,0.9388184025789484,0.9388184025789484,0.00045000000000000004
10,0.4720403135212418,0.3244360830269608,0.040921489241855596,0.006208113128063726,0.2868855553062539,0.14707497810119907,0.04135971273885366,0.003932860080305844,0.45557586837294317,0.7136311569301256,0.9172322940891366,0.9172322940891366,0.0005
