epoch,train_loss,train_box,train_cls,train_obj,val_loss,val_box,val_cls,val_obj,precision,recall,map50,map5095,lr
1,3.7798808976715685,0.9911830129187091,0.9068711224724265,0.0169981414196538,2.148820321219308,0.7500656756332943,0.4491766916854041,0.012806143122059958,0.0,0.0,0.2650845318142989,0.2650845318142989,5e-05
2,1.5978964013991013,0.5527990004595589,0.32683947195414625,0.016151989207548255,1.024262773820332,0.3973261825527464,0.19327977773334298,0.01177431426410164,0.0,0.0,0.5658146805256864,0.5658146805256864,0.0001
3,0.8827311197916666,0.3842877157373366,0.14643987019856772,0.014782138899260876,0.5176201174940381,0.2432976610319955,0.07790460892287748,0.010152158247573035,0.3518518518518486,0.021764032073310412,0.7252673177104006,0.7252673177104006,0.00015
4,0.6959667330473857,0.36627237157883985,0.09376517152474596,0.012095407722822202,0.34759305579321725,0.2100482157298497,0.03559256600249293,0.0076917854031281815,0.023041474654377826,0.005727376861397477,0.8226756363857648,0.8226756363857648,0.0002
5,0.6271721335018382,0.35189081329146243,0.0792229596306296,0.009404300864225898,0.3410088860137122,0.20342535172189985,0.037794124095068715,0.006050290937668511,0.24806800618238004,0.183848797250859,0.845426175142493,0.845426175142493,0.00025
6,0.5482325335733251,0.33291765599468953,0.06166456883249719,0.007581766913918888,0.23457097773041044,0.17494671093566078,0.012926255154889077,0.00521137493396444,0.4050890585241728,0.4558991981672392,0.9092058730165528,0.9092058730165528,0.0003
7,0.5249530069189134,0.3362594305300245,0.05388384551004646,0.006760946286270042,0.2749565165383475,0.21687687128782274,0.013086354576101128,0.0047051450663379265,0.0811279826464208,0.10710194730813281,0.9102590117030589,0.9102590117030589,0.00035
8,0.5221765056934232,0.32919471092473446,0.05570784425423815,0.0064665663476083796,0.17864262614931378,0.14606033512524197,0.005717265167123904,0.0038576237804123334,0.2579840319361276,0.29610538373424955,0.9216145141819904,0.9216145141819904,0.0004
9,0.48748779296875,0.32251255808312906,0.046830654923432795,0.006119466295429305,0.18864981578929083,0.16542770419801983,0.003130414802082149,0.003457716813843165,0.0833333333333333,0.10423825887743408,0.9460230213571411,0.9460230213571411,0.00045000000000000004
10,0.4774544909109477,0.32407553679023693,0.04308453650256387,0.006032713098463669,0.1834421771764755,0.14995200357266836,0.006535778036923148,0.003470709780231118,0.09881796690307325,0.11970217640320727,0.9640023041522623,0.9640023041522623,0.0005
11,0.32031748653237335,0.19448842565997754,0.038377967535280715,0.002672458785811281,0.18026750411306108,0.15246127409594398,0.005994113114595945,0.0024559727071651392,0.10680970149253727,0.1311569301260022,0.9346893710025819,0.9346893710025819,0.000499965894595621
12,0.3055262347452002,0.1963434157028697,0.032958733490089966,0.002577644547605826,0.1634270116686821,0.13418177327939443,0.006395095749342415,0.0025149879711014885,0.14903129657228012,0.22909507445589908,0.9330819234779991,0.9330819234779991,0.0004998635877065611
13,0.2719782411662582,0.17265210120506536,0.02977323765848197,0.0025022123374190985,0.13775004902056284,0.11980807304382324,0.0032240482280862385,0.0020674579803432735,0.3042253521126759,0.30927835051546376,0.9493445975747418,0.9493445975747418,0.000499693107302502
14,0.262432821435866,0.17264123056449143,0.02674071967991349,0.0023920738619137433,0.1348106864946229,0.12320376592023032,0.0014269796797972438,0.0018314954359084368,0.21483375959079273,0.24054982817869403,0.9757352095290939,0.9757352095290939,0.0004994544999910842
15,0.22240283442478553,0.15230694939108455,0.02040775052083084,0.0022182433433782043,0.12108978535447802,0.11170499627079282,0.0007478416295322989,0.0017853160175893988,0.18138424821002377,0.21764032073310413,0.957279467700247,0.957279467700247,0.0004991478310051641
16,0.21957197999642566,0.1462914959277982,0.02149445948257945,0.0021994316499996808,0.11017554900475911,0.10041259765625,0.0008014803631730111,0.0018396274918424233,0.2375222816399286,0.30526918671248554,0.9649763923921106,0.9649763923921106,0.0004987731841849803
