epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1776,0.23215,0.26196,0.89671,0.99949,1,0.995,0.9949,0.09581,0.11159,0.79812,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1833.77,0.22969,0.25989,0.89431,0.99936,1,0.995,0.99493,0.10215,0.0939,0.79869,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1890.92,0.22908,0.2593,0.89642,0.99947,1,0.995,0.99499,0.08701,0.08243,0.79677,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1947.36,0.22378,0.25709,0.89405,0.99944,1,0.995,0.99487,0.10283,0.09109,0.79889,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2000.73,0.2251,0.2498,0.89598,0.99941,1,0.995,0.99492,0.09216,0.08952,0.79635,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2057.99,0.22274,0.25633,0.89293,0.9995,1,0.995,0.99492,0.09409,0.10568,0.79704,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2119.21,0.22305,0.24385,0.89513,0.99955,1,0.995,0.99496,0.09317,0.09902,0.79717,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2178.56,0.22016,0.24697,0.89476,0.99949,1,0.995,0.99496,0.08931,0.08815,0.79715,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2239.49,0.22151,0.24791,0.89489,0.99948,1,0.995,0.99492,0.09239,0.09738,0.79727,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2299.93,0.21744,0.24326,0.89165,0.99937,1,0.995,0.99491,0.08885,0.09014,0.79681,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2360.35,0.2151,0.23809,0.89001,0.99948,1,0.995,0.99492,0.09239,0.1043,0.79596,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2417.67,0.21442,0.2399,0.89021,0.99951,1,0.995,0.99495,0.08897,0.11396,0.79762,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2473.75,0.21296,0.24392,0.89172,0.99963,1,0.995,0.99497,0.08417,0.07734,0.79542,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2530.49,0.21035,0.23708,0.89305,0.99945,1,0.995,0.99496,0.09389,0.08829,0.79692,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2586.8,0.20904,0.23516,0.88857,0.99946,1,0.995,0.99497,0.08369,0.07698,0.79523,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2643.72,0.20739,0.22979,0.89074,0.9995,1,0.995,0.99496,0.07801,0.07848,0.79486,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2700.06,0.20603,0.22876,0.89006,0.99948,1,0.995,0.99491,0.08349,0.0873,0.79638,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2755.96,0.20425,0.22578,0.88968,0.99946,1,0.995,0.99488,0.08248,0.09541,0.79558,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2811.92,0.20437,0.22629,0.89176,0.9994,1,0.995,0.9949,0.08746,0.09172,0.79569,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2867.86,0.20358,0.22246,0.88862,0.99945,1,0.995,0.99497,0.07885,0.08664,0.79459,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2924.38,0.20244,0.22502,0.888,0.99955,1,0.995,0.99498,0.08618,0.09841,0.79609,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2981.26,0.19846,0.22044,0.88844,0.99938,1,0.995,0.99498,0.07948,0.10526,0.79547,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3037.47,0.19837,0.22104,0.88849,0.99955,1,0.995,0.99498,0.07238,0.08186,0.79385,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3091.49,0.19805,0.21675,0.89012,0.99945,1,0.995,0.99498,0.07948,0.10376,0.79528,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3147.62,0.19623,0.21683,0.88697,0.99971,1,0.995,0.99498,0.07864,0.07842,0.79495,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3204.32,0.1953,0.21744,0.88817,0.99958,1,0.995,0.99498,0.08098,0.08731,0.79528,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3259.94,0.19267,0.21502,0.88821,0.99952,1,0.995,0.99498,0.07077,0.08075,0.79409,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3316.04,0.19232,0.2157,0.88621,0.99902,1,0.995,0.99499,0.07821,0.08896,0.79548,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3372.7,0.19467,0.21661,0.88964,0.99779,1,0.995,0.995,0.07256,0.08518,0.7944,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3429.76,0.19267,0.2203,0.88868,0.9994,1,0.995,0.99498,0.07654,0.08831,0.79447,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3489.07,0.19032,0.21086,0.8883,0.99942,1,0.995,0.99493,0.0701,0.08985,0.79333,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,3550.29,0.19026,0.20847,0.88666,0.99952,1,0.995,0.99499,0.07041,0.06957,0.79385,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,3610.75,0.18859,0.20779,0.88672,0.99961,1,0.995,0.995,0.0692,0.08933,0.79374,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3670.98,0.18876,0.20931,0.8879,0.99975,1,0.995,0.995,0.07154,0.06842,0.79397,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3732.41,0.18755,0.20583,0.88662,0.99963,1,0.995,0.99499,0.06818,0.06457,0.79327,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3794.51,0.18399,0.20307,0.88675,0.99976,1,0.995,0.99497,0.0732,0.07063,0.79345,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3851.24,0.18562,0.20895,0.88728,0.99952,1,0.995,0.99499,0.06542,0.06096,0.79306,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3905.18,0.1827,0.20032,0.88476,0.9996,1,0.995,0.995,0.0654,0.06041,0.79331,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3961.15,0.1839,0.19926,0.88474,0.9995,1,0.995,0.99499,0.06576,0.06193,0.79313,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
