epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1288,1.13996,0.81663,0.99156,0.93337,0.86929,0.94348,0.69696,0.91798,0.65657,0.90782,0.000540037,0.000540037,0.000540037
43,1318.11,1.09301,0.90762,0.97694,0.89636,0.87841,0.94679,0.68212,0.94378,0.69868,0.91564,0.000531038,0.000531038,0.000531038
44,1349.29,1.13646,0.80115,0.97506,0.85502,0.96847,0.94589,0.71321,0.88847,0.60602,0.90383,0.000522039,0.000522039,0.000522039
45,1378.86,1.01409,0.76027,0.9631,0.87666,0.93966,0.94403,0.71513,0.87769,0.64081,0.89837,0.00051304,0.00051304,0.00051304
46,1409.81,1.03138,0.77025,0.96258,0.84368,0.94366,0.95969,0.72971,0.90466,0.72845,0.90984,0.00050404,0.00050404,0.00050404
47,1441.63,1.06297,0.74732,0.97172,0.88768,0.94307,0.95745,0.74066,0.8772,0.61757,0.90873,0.000495041,0.000495041,0.000495041
48,1475.62,1.03938,0.71996,0.94321,0.89684,0.93704,0.96787,0.75978,0.82371,0.62764,0.88834,0.000486042,0.000486042,0.000486042
49,1510.5,1.06401,0.69318,0.96958,0.89636,0.90721,0.96693,0.75943,0.82335,0.64041,0.88617,0.000477043,0.000477043,0.000477043
50,1543.03,0.99462,0.70312,0.94978,0.88997,0.9166,0.96508,0.75121,0.82965,0.63717,0.88626,0.000468044,0.000468044,0.000468044
51,1575.44,0.99505,0.65125,0.94525,0.85967,0.94817,0.96482,0.75913,0.80647,0.60724,0.88339,0.000459045,0.000459045,0.000459045
52,1606.45,1.00113,0.69326,0.9748,0.8837,0.93454,0.96237,0.75406,0.81524,0.59434,0.88464,0.000450046,0.000450046,0.000450046
53,1638.22,1.00085,0.688,0.973,0.91218,0.93001,0.96952,0.76141,0.7946,0.5563,0.88146,0.000441047,0.000441047,0.000441047
54,1669.4,0.98597,0.68416,0.95348,0.91916,0.93966,0.97361,0.76342,0.78021,0.5782,0.87416,0.000432048,0.000432048,0.000432048
55,1701.59,0.99342,0.70511,0.94249,0.87326,0.93581,0.97074,0.7529,0.78707,0.61366,0.87533,0.000423049,0.000423049,0.000423049
56,1732.29,0.94528,0.66984,0.94886,0.88311,0.9564,0.96952,0.7554,0.79177,0.57181,0.87586,0.000414049,0.000414049,0.000414049
57,1762.38,0.97129,0.66628,0.95739,0.93652,0.93356,0.97001,0.77003,0.79806,0.50652,0.87428,0.00040505,0.00040505,0.00040505
58,1794.01,0.95391,0.64664,0.93101,0.8974,0.93411,0.96976,0.77992,0.76588,0.54203,0.86291,0.000396051,0.000396051,0.000396051
59,1825.84,0.91426,0.6399,0.95722,0.86998,0.93623,0.97428,0.77308,0.76537,0.54555,0.862,0.000387052,0.000387052,0.000387052
60,1855.71,1.08515,0.70119,0.96936,0.8956,0.94078,0.98052,0.7689,0.75001,0.5423,0.86041,0.000378053,0.000378053,0.000378053
61,1885.78,0.9447,0.64687,0.91302,0.88691,0.95935,0.96661,0.76248,0.76582,0.55202,0.86325,0.000369054,0.000369054,0.000369054
62,1920.49,0.97187,0.66555,0.92172,0.90796,0.95058,0.97383,0.77248,0.77014,0.56464,0.86257,0.000360055,0.000360055,0.000360055
63,1950.19,0.99147,0.63002,0.93635,0.8988,0.9606,0.97161,0.76846,0.77402,0.5608,0.86386,0.000351056,0.000351056,0.000351056
64,1981.11,0.94341,0.59929,0.92379,0.91579,0.96606,0.97319,0.77424,0.76452,0.53053,0.86066,0.000342057,0.000342057,0.000342057
65,2011.12,0.91161,0.6064,0.91778,0.91994,0.96809,0.97455,0.79417,0.73285,0.49764,0.85496,0.000333058,0.000333058,0.000333058
66,2041.85,0.94903,0.64917,0.95224,0.94889,0.95288,0.97627,0.793,0.71681,0.46939,0.85309,0.000324058,0.000324058,0.000324058
67,2073.39,0.9174,0.5887,0.91984,0.89904,0.97198,0.97788,0.78548,0.72308,0.48157,0.85266,0.000315059,0.000315059,0.000315059
68,2104.25,0.90638,0.60771,0.91242,0.95474,0.93158,0.9787,0.79007,0.7426,0.49087,0.85753,0.00030606,0.00030606,0.00030606
69,2134.26,0.90124,0.61046,0.90791,0.95564,0.96043,0.98133,0.80626,0.70656,0.4766,0.84843,0.000297061,0.000297061,0.000297061
70,2165.9,0.91045,0.63849,0.93827,0.93994,0.94057,0.98205,0.8022,0.70169,0.46997,0.84476,0.000288062,0.000288062,0.000288062
71,2196.63,0.87097,0.57044,0.90856,0.91749,0.95825,0.9817,0.80112,0.71241,0.48094,0.84796,0.000279063,0.000279063,0.000279063
72,2227.03,0.8846,0.59989,0.93807,0.89436,0.97038,0.9831,0.78339,0.72737,0.50264,0.85209,0.000270064,0.000270064,0.000270064
73,2257.37,0.93308,0.58157,0.91394,0.90498,0.977,0.98174,0.79913,0.7122,0.4963,0.84888,0.000261065,0.000261065,0.000261065
74,2287.78,0.99227,0.63259,0.95975,0.9022,0.97748,0.9828,0.80587,0.6977,0.49116,0.84501,0.000252066,0.000252066,0.000252066
75,2318.66,0.89034,0.58905,0.9082,0.89461,0.97255,0.98098,0.80984,0.68307,0.48488,0.8443,0.000243067,0.000243067,0.000243067
76,2353.34,0.83012,0.57041,0.89715,0.89945,0.95745,0.98164,0.80921,0.6844,0.48672,0.84692,0.000234068,0.000234068,0.000234068
77,2384.45,0.92083,0.57298,0.9362,0.91613,0.95725,0.97476,0.80433,0.67709,0.4849,0.84681,0.000225068,0.000225068,0.000225068
78,2414.46,0.86343,0.56218,0.91502,0.92534,0.96445,0.96968,0.80432,0.66325,0.47481,0.8419,0.000216069,0.000216069,0.000216069
79,2444.41,0.86896,0.55165,0.93897,0.92376,0.96949,0.97253,0.8012,0.66333,0.45888,0.83986,0.00020707,0.00020707,0.00020707
80,2475.12,0.8279,0.55968,0.92571,0.94051,0.96821,0.97258,0.80248,0.65175,0.44287,0.83639,0.000198071,0.000198071,0.000198071
81,2507.68,0.82032,0.53625,0.91296,0.95755,0.97562,0.98214,0.81265,0.66169,0.43677,0.83755,0.000189072,0.000189072,0.000189072
82,2539.75,0.85163,0.52171,0.89856,0.96632,0.97229,0.98415,0.8171,0.65831,0.43574,0.83602,0.000180073,0.000180073,0.000180073
83,2573.06,0.80527,0.53295,0.90174,0.96537,0.97414,0.98258,0.81458,0.6584,0.44112,0.83715,0.000171074,0.000171074,0.000171074
84,2605.67,0.83376,0.54795,0.89804,0.9683,0.96929,0.98462,0.81186,0.66643,0.44069,0.83893,0.000162075,0.000162075,0.000162075
85,2636.77,0.84162,0.56448,0.9235,0.96075,0.97115,0.98004,0.81352,0.64823,0.43524,0.83561,0.000153076,0.000153076,0.000153076
86,2669.06,0.82465,0.50334,0.89373,0.95516,0.967,0.98189,0.82308,0.64013,0.42674,0.83526,0.000144077,0.000144077,0.000144077
87,2702.11,0.78061,0.47812,0.88133,0.97054,0.96256,0.98413,0.82248,0.64991,0.40797,0.83805,0.000135077,0.000135077,0.000135077
88,2733.76,0.8392,0.55141,0.90541,0.97336,0.96528,0.98364,0.82313,0.64207,0.40827,0.83738,0.000126078,0.000126078,0.000126078
89,2766.78,0.81741,0.51034,0.90764,0.97307,0.96991,0.98436,0.82892,0.61851,0.39874,0.83215,0.000117079,0.000117079,0.000117079
90,2797.8,0.81268,0.51002,0.88275,0.97366,0.97023,0.98393,0.83751,0.61413,0.4016,0.8304,0.00010808,0.00010808,0.00010808
91,2865.62,0.7536,0.45105,0.84501,0.96931,0.9708,0.98,0.8253,0.63216,0.41292,0.83373,9.9081e-05,9.9081e-05,9.9081e-05
92,2895.54,0.74801,0.44147,0.86209,0.96976,0.97169,0.981,0.82686,0.63555,0.41392,0.83554,9.00819e-05,9.00819e-05,9.00819e-05
93,2927.61,0.7343,0.47516,0.83971,0.9676,0.96777,0.97928,0.82039,0.6476,0.42574,0.83811,8.10828e-05,8.10828e-05,8.10828e-05
94,2958.48,0.72918,0.44213,0.84981,0.97695,0.96677,0.98038,0.80783,0.64938,0.42009,0.83758,7.20837e-05,7.20837e-05,7.20837e-05
95,2989.17,0.69903,0.42069,0.84503,0.97323,0.96496,0.98044,0.822,0.63786,0.42058,0.83581,6.30846e-05,6.30846e-05,6.30846e-05
96,3019.93,0.72473,0.41815,0.86704,0.97666,0.96568,0.98133,0.82218,0.63117,0.41262,0.83273,5.40855e-05,5.40855e-05,5.40855e-05
97,3054.13,0.6743,0.41422,0.85633,0.97233,0.96689,0.98128,0.82319,0.62637,0.41461,0.83156,4.50864e-05,4.50864e-05,4.50864e-05
98,3084.35,0.75402,0.44175,0.84691,0.97336,0.96716,0.98121,0.82284,0.62644,0.4172,0.83222,3.60873e-05,3.60873e-05,3.60873e-05
99,3114.98,0.71615,0.43213,0.85052,0.97146,0.97246,0.98127,0.82652,0.62544,0.40915,0.83126,2.70882e-05,2.70882e-05,2.70882e-05
100,3144.99,0.65523,0.41451,0.85094,0.97525,0.97302,0.981,0.81856,0.63074,0.42273,0.83293,1.80891e-05,1.80891e-05,1.80891e-05
